Dept,#,Sec,Term Part,CRN,TITLE,Approval Required,Cross Listed,Max Enroll,Actual Enroll,Faculty,Credits,Days1,Time1,Loc1,Days2,Time2,Loc2,Days3,Time3,Loc3,Notes
CLA,300,1,1,10042,SELECT TOPICS IN CLASSICS,,,18,0,Tobias Myers,4,T F,0830-0945,REMOTE,,-,,,-,,.
CA,201,1,1,10514,FOUNDATIONS COMMUNITY ACTION,Y,,28,0,Ariella Rotramel Kimberly Sanchez Angela Barney,4,T F,1015-1130,REMOTE,,-,,,-,,.
CA,302,1,2,10513,JR COMMUNITY LEARNING SEM,Y,,28,0,Rebecca McCue Kimberly Sanchez,2,,-,REMOTE,,-,,,-,,.
CA,402,1,3,10512,SR SEM IN COMM ACT/PUB POLICY,Y,,28,0,Audrey Zakriski Rebecca McCue,2,,-,REMOTE,,-,,,-,,.
COM,110,1,1,10185,CC:INTRO COMP SCI & PROB SOLV,,,48,0,Christine Chung,4,M R,1345-1500,REMOTE,,-,,,-,,.
COM,110L,1,1,10186,INTRO COMP SCI/PROB SOLV LAB,,,20,0,Christine Chung,0,W,0930-1130,REMOTE,,-,,,-,,.
COM,110L,2,1,10188,INTRO COMP SCI/PROB SOLV LAB,,,28,0,Christine Chung,0,W,1345-1545,REMOTE,,-,,,-,,.
COM,203,1,1,10165,BIOINFORMATICS,,Y,18,0,Stephen Douglass,4,M R,1345-1500,REMOTE,,-,,,-,,.
COM,212,1,1,10192,DATA STRUCTURES,,,18,0,Gary Parker,4,T F,1015-1130,REMOTE,,-,,,-,,.
COM,212,2,1,10193,DATA STRUCTURES,,,18,0,William Tarimo,4,T F,1200-1315,REMOTE,,-,,,-,,.
COM,214,1,1,10194,WEB TECHNOLOGIES & DEVELOPMENT,,,18,0,William Tarimo,4,T F,1530-1645,REMOTE,,-,,,-,,.
COM,217,1,1,10662,ENTERTAINMENT SOFTWARE DESIGN,,Y,18,0,S. James Lee,4,M R,1015-1130,REMOTE,,-,,,-,,.
COM,219,1,1,10202,COMPUTER ORGANIZATION,,,18,0,Ozgur Izmirli,4,M R,1200-1315,REMOTE,,-,,,-,,.
COM,307,1,1,10195,MACHINE LEARN/DATA MINING,,,18,0,. To Be Assigned,4,M W,1900-2200,REMOTE,,-,,,-,,.
COM,312,1,1,10217,DIGITAL SOUND PROCESSING,,Y,18,0,Ozgur Izmirli,4,M R,1530-1645,REMOTE,,-,,,-,,.
COM,316,1,1,10664,ARTIFICIAL INTELLIGENCE,,,18,0,Gary Parker,4,T F,1345-1500,REMOTE,,-,,,-,,.
COM,496,1,1,10223,RESEARCH SEMINAR,,,15,0,S. James Lee,4,W,1530-1830,REMOTE,,-,,,-,,.
COM,496,2,1,10224,RESEARCH SEMINAR,,,15,0,Gary Parker,4,T,1900-2200,REMOTE,,-,,,-,,.
CRE,102,1,1,10819,INTR TO ASIAN AMERICAN STUDIES,,Y,38,0,Ayako Takamori,4,T F,1200-1315,REMOTE,,-,,,-,,.
CRE,103,1,1,10864,"GENDER, SEXUALITY, AND INTESEC",,Y,17,0,Karen Hanna,4,M W,1715-1830,REMOTE,,-,,,-,,.
CRE,103,2,1,10865,"GENDER, SEXUALITY, AND INTESEC",,Y,17,0,Karen Hanna,4,M W,1900-2015,REMOTE,,-,,,-,,.
CRE,165,1,1,10370,AFRO-CARIBBEAN DANCE I,,Y,15,0,Rosemarie Roberts,4,M R,1015-1130,CRO MYERS,,-,,,-,,.
CRE,165,2,1,10681,AFRO-CARIBBEAN DANCE I,,Y,15,0,Rosemarie Roberts,4,M R,1200-1315,CRO MYERS,,-,,,-,,.
CRE,209,1,1,10659,INTERSECT IDENT IN U.S. FILM,,Y,20,0,Linnea Hussein,4,M W,1715-1830,REMOTE,,-,,,-,,.
CRE,210,1,1,10686,ADV GRAMMAR/COMP BILINGUAL SPK,,Y,15,0,Jennifer Rudolph,4,T R,1715-1830,REMOTE,,-,,,-,,.
CRE,215,1,2,10624,POLIT/CULT IN U.S. SINCE 1945,,Y,25,0,,4,T R,1715-2015,,,-,,,-,,.
CRE,230,1,1,10844,THE DAY BEYONCE TURNED BLACK,,Y,28,0,Jamil Jorge,4,M W,1900-2015,REMOTE,,-,,,-,,.
CRE,231,1,1,10866,DISABILITY JUSTICE,,Y,25,0,Karen Hanna,4,M,2045-2200,REMOTE,,-,,,-,,.
CRE,237,1,1,10872,INQUIRY IN BLACK,,Y,25,0,Cherise Harris,4,T R,1715-1830,REMOTE,,-,,,-,,.
CRE,251,1,1,10698,LATINO USA: US LATINX CULTURES,,Y,18,0,Jennifer Rudolph,4,T R,1900-2015,REMOTE,,-,,,-,,.
CRE,253,1,1,10114,CHINESE AMERICAN LITERATURE,,Y,28,0,Yibing Huang,4,M R,1530-1645,REMOTE,,-,,,-,,.
CRE,266,1,3,10848,GREAT MIGRATION & ITS LEGACY,,Y,28,0,Taylor Desloge,4,M R,1015-1315,,,-,,,-,,.
CRE,306,1,1,10867,"LANGUAGE, NARRATIVE, AND SELF",,Y,18,0,Sunil Bhatia,4,M R,1345-1500,REMOTE,,-,,,-,,.
CRE,319,1,1,10815,LEATHER AND GLITT,,Y,18,0,Ariella Rotramel Denis Ferhatovic,4,T F,1200-1315,REMOTE,,-,,,-,,.
CRE,367,1,1,10860,HIST/POL OF RACISM/PUBL HEALTH,,Y,16,0,Taylor Desloge,4,T F,1015-1130,,,-,,,-,,.
CRE,420,1,1,10869,THE WOMAN'S BODY AFR LIT/CIN,,Y,16,0,Ramla Bedoui,4,M R,1345-1500,REMOTE,,-,,,-,,.
CRE,435,1,1,10852,SEGREGATION IN AMERICA,,Y,16,0,Taylor Desloge,4,W,0830-0945,,F,1715-1830,,,-,,.
DAN,101,1,1,10607,MOVERS & SHAKERS,,,8,0,Rachel Boggia,4,T F,1345-1500,CRO MYERS,,-,,,-,,.
DAN,102,1,1,10360,INTRODUCTION TO YOGA,,,50,0,Marya Ursin,1,T F,0830-0945,REMOTE,,-,,,-,,.
DAN,103,1,1,10361,PILATES,,,50,0,Alisha Bliss,1,W,1530-1645,REMOTE,,-,,,-,,.
DAN,114,1,1,10676,INTRODUCTION TO HIP HOP DANCE,,Y,15,0,Shakia Johnson,4,T R,1715-1830,CRO MYERS,,-,,,-,,.
DAN,125,1,1,10363,DANCE PRODUCTION,,,15,0,Shawn Hove,2,M,1900-2200,CRO MYERS,,-,,,-,,.
DAN,159,1,1,10554,INTRODUCTION TO BALLET,,,8,0,Shawn Hove,2,M R,1530-1645,CRO 2ND FLOOR,,-,,,-,,.
DAN,165,1,1,10367,AFRO-CARIBBEAN DANCE I,,Y,15,0,Rosemarie Roberts,4,M R,1015-1130,CRO MYERS,,-,,,-,,.
DAN,165,2,1,10678,AFRO-CARIBBEAN DANCE I,,Y,15,0,Rosemarie Roberts,4,M R,1200-1315,CRO MYERS,,-,,,-,,.
DAN,207,1,1,10608,COMPOSITIONAL IMPROVISATION,,,8,0,Rachel Boggia,4,M R,1200-1315,CRO 2ND FLOOR,,-,,,-,,.
DAN,208,1,1,10556,CHOREOGRAPHY I,,,15,0,Lisa Race,4,W,1345-1645,CRO 2ND FLOOR,,-,,,-,,.
DAN,214,1,1,10684,HIP HOP DANCE II,,Y,15,0,Shakia Johnson,4,T R,1900-2015,CRO MYERS,,-,,,-,,.
DAN,258,1,1,10557,MODERN TECHNIQUE II,,,15,0,Lisa Race,2,T F,1530-1645,CRO MYERS,,-,,,-,,.
DAN,259,1,1,10366,BALLET II,,,15,0,,2,M R,1530-1645,CRO MYERS,,-,,,-,,.
DAN,262,1,1,10730,WEST AFRICAN DANCE II,,Y,15,0,Shani Collins-Achille,4,T F,1200-1315,CRO MYERS,,-,,,-,,.
DAN,280,1,1,10736,REPERTORY/PERFORMANCE I,,,15,0,Shani Collins-Achille,4,M W,1715-1830,CRO MYERS,,-,,,-,,.
DAN,340,1,1,10371,HISTORY OF DANCE,,,28,0,Rosemarie Roberts,4,F,1345-1645,,,-,,,-,,.
DAN,358,1,1,10558,MODERN TECHNIQUE III,,,15,0,David Dorfman,2,T F,1015-1130,CRO MYERS,,-,,,-,,.
DAN,359,1,1,10559,BALLET III,,,15,0,,2,M R,1345-1500,CRO MYERS,,-,,,-,,.
DAN,380,1,1,10737,REPERTORY/PERFORMANCE II,,,15,0,Shani Collins-Achille,4,M W,1715-1830,CRO MYERS,,-,,,-,,.
DAN,458,1,1,10560,MODERN TECHNIQUE IV,,,15,0,David Dorfman,2,T F,1015-1130,CRO MYERS,,-,,,-,,.
DAN,459,1,1,10372,BALLET IV,,,15,0,,2,M R,1345-1500,CRO MYERS,,-,,,-,,.
DAN,480,1,1,10738,REPERTORY/PERFORMANCE III,,,15,0,Shani Collins-Achille,4,M W,1715-1830,CRO MYERS,,-,,,-,,.
DAN,494,1,1,10561,CAPSTONE PROJECT,,,15,0,David Dorfman,4,F,1715-2015,CRO MYERS,,-,,,-,,.
EAS,101,1,1,10111,BEYOND THE ORIENT: LIT/FILM,,,38,0,Yibing Huang,4,M R,1345-1500,REMOTE,,-,,,-,,.
EAS,102,1,1,10818,INTR TO ASIAN AMERICAN STUDIES,,Y,38,0,Ayako Takamori,4,T F,1200-1315,REMOTE,,-,,,-,,.
EAS,104,1,2,10643,INTRODUCTION TO ASIAN ART,,Y,24,0,Di Luo,4,MT RF,1200-1315,,,-,,,-,,.
EAS,104,2,3,10645,INTRODUCTION TO ASIAN ART,,Y,24,0,Di Luo,4,MT RF,1200-1315,,,-,,,-,,.
EAS,204,1,3,10650,JAPANESE ART & ARCHITECTURE,,Y,20,0,Di Luo,4,MT RF,1345-1500,,,-,,,-,,.
EAS,232,1,1,10834,CHINESE MUSIC AND THEATER,,Y,28,0,Dale Wilson,4,T R,1900-2015,REMOTE,,-,,,-,,.
EAS,253,1,1,10112,CHINESE AMERICAN LITERATURE,,Y,28,0,Yibing Huang,4,M R,1530-1645,REMOTE,,-,,,-,,.
EAS,314,1,1,10116,SEX AND POWER IN JAPAN,,Y,28,0,Ayako Takamori,4,T F,1345-1500,REMOTE,,-,,,-,,.
EAS,428,1,1,10096,DEBATING CHINA'S GLOBALIZATION,,Y,16,0,Sarah Queen,4,M R,1015-1130,REMOTE,,-,,,-,,.
EAS,493E,1,1,10536,EAST ASIAN DIASPORA,,,16,0,Ayako Takamori,4,T,1715-2015,REMOTE,,-,,,-,,.
ECO,111,1,1,10126,INTRODUCTORY MACROECONOMICS,,,28,0,Michael Andrade,4,T R,1715-1830,,,-,,,-,,.
ECO,111,2,1,10574,INTRODUCTORY MACROECONOMICS,,,28,0,Michael Andrade,4,T R,1900-2015,,,-,,,-,,.
ECO,112,1,1,10127,INTRODUCTORY MICROECONOMICS,,,28,0,Sadia Priyanka,4,M R,1015-1130,REMOTE,,-,,,-,,.
ECO,112,2,1,10128,INTRODUCTORY MICROECONOMICS,,,25,0,Monika Lopez-Anuarbe,4,M R,1345-1500,REMOTE,,-,,,-,,.
ECO,202,1,1,10133,INTRO TO MATH METHOD FOR ECON,,,28,0,Purba Mukerji,4,M R,0830-0945,REMOTE,,-,,,-,,.
ECO,205,1,1,10129,INT MICROECONOMIC THEORY,,,28,0,Mark Stelzner,4,T F,1015-1130,REMOTE,,-,,,-,,.
ECO,205,2,1,10130,INT MICROECONOMIC THEORY,,,28,0,Mark Stelzner,4,T F,1200-1315,REMOTE,,-,,,-,,.
ECO,206,1,1,10131,INT MACROECONOMIC THEORY,,,25,0,Maria Cruz-Saco,4,M R,0830-0945,REMOTE,,-,,,-,,.
ECO,206,2,1,10132,INT MACROECONOMIC THEORY,,,25,0,Maria Cruz-Saco,4,M R,1015-1130,REMOTE,,-,,,-,,.
ECO,209,1,1,10135,INTRO TO EXPERIMENTAL ECON,,,28,0,Benjamin Beranek,4,M W,1900-2015,,,-,,,-,,.
ECO,230,1,1,10136,ECONOMETRICS I,,,18,0,Candace Howes,4,T F,0930-0945,REMOTE,,-,,,-,,.
ECO,230,2,1,10137,ECONOMETRICS I,,,18,0,Candace Howes,4,T F,1015-1130,REMOTE,,-,,,-,,.
ECO,234,1,1,10139,ECONOMIC DEVELOPMENT,,,28,0,Sadia Priyanka,4,M R,1200-1315,REMOTE,,-,,,-,,.
ECO,248,1,1,10567,INTRO FINANC INSTIT & MARKETS,,,28,0,Peter Cannon,4,T R,1900-2015,,,-,,,-,,.
ECO,317,1,1,10143,ECONOMIC ANALYSIS OF THE LAW,,,28,0,David Chavanne,4,M R,1200-1315,REMOTE,,-,,,-,,.
ECO,322,1,1,10142,GAME THEORY,,,25,0,Monika Lopez-Anuarbe,4,T F,1345-1500,REMOTE,,-,,,-,,.
ECO,324,1,1,10569,CORPORATE FINANCE,,,28,0,Benjamin Beranek,4,M W,1715-1830,,,-,,,-,,.
ECO,330,1,1,10485,INTERNATIONAL FINANCE,,,28,0,Purba Mukerji,4,M R,1015-1130,REMOTE,,-,,,-,,.
ECO,403,1,1,10568,CAPITALISM AND SLAVERY,,,15,0,Mark Stelzner,4,T F,1345-1500,REMOTE,,-,,,-,,.
ECO,408,1,1,10145,EXPERIMENTAL ECONOMICS,,,16,0,David Chavanne,4,M W,2045-2200,REMOTE,,-,,,-,,.
EDU,104,1,1,10862,INTRO TO CONTEMP ISSUES IN ED,,,30,0,Paul Madden,4,M R,1530-1645,REMOTE,,-,,,-,,.
EDU,223,1,1,10438,FOUNDATIONS OF EDUCATION,,,25,0,Paul Madden,4,M R,1015-1130,REMOTE,,-,,,-,,.
EDU,260,1,1,10588,"CC: COLONIALISM,MATH,CURRICULA",,,24,0,Paul Madden,4,T F,1015-1130,REMOTE,,-,,,-,,.
EDU,306,1,1,10613,CRITICAL RACE THEORY IN EDU,,,20,0,Manali Sheth,4,M W,1900-2015,REMOTE,,-,,,-,,.
EDU,313,1,1,10439,"CHILDREN, BOOKS & CULTURE",,,28,0,. To Be Assigned,4,,-,REMOTE,,-,,,-,,.
ENG,107,1,1,10282,"CC:NOMADS, SHAMANS, & MYSTICS",,Y,18,0,Denis Ferhatovic,4,M R,1015-1130,REMOTE,,-,,,-,,.
ENG,110,1,1,10003,INTRO TO LANGUAGE AND MIND,,Y,38,0,Tek-wah King,4,M R,1530-1645,REMOTE,,-,,,-,,.
ENG,119,1,1,10285,CC: LIT AND EVOLUTION OF MIND,,,18,0,Steven Shoemaker,4,T F,1345-1500,REMOTE,,-,,,-,,.
ENG,122,1,1,10286,CC: NARRATIVE MEDICINE,,,18,0,Julie Rivkin,4,T F,1200-1315,REMOTE,,-,,,-,,.
ENG,150,1,1,10281,ESSENTIALS OF LITERARY STUDY,,,16,0,Marie Ostby,4,T R,1715-1830,REMOTE,,-,,,-,,.
ENG,150,2,1,10287,ESSENTIALS OF LITERARY STUDY,,,16,0,Marie Ostby,4,T R,1900-2015,REMOTE,,-,,,-,,.
ENG,175,1,1,10820,"AFRICA: CULTURE,HISTORY,MEDIA",,,18,0,Jeff Strabone,4,M R,1200-1315,,,-,,,-,,.
ENG,240,1,1,10289,READING & WRITING POEMS,,,16,0,Charles Hartman,4,M W,1715-1830,REMOTE,,-,,,-,,.
ENG,250,1,1,10290,THEORY/PRACT OF LITERARY STUDY,,,18,0,Hubert Cook,4,T F,0830-0945,REMOTE,,-,,,-,,.
ENG,250,2,1,10291,THEORY/PRACT OF LITERARY STUDY,,,18,0,Hubert Cook,4,T F,1015-1130,REMOTE,,-,,,-,,.
ENG,253,1,1,10115,CHINESE AMERICAN LITERATURE,,Y,28,0,Yibing Huang,4,M R,1530-1645,REMOTE,,-,,,-,,.
ENG,301,1,1,10292,AMERICAN WOMEN WRITERS,,Y,18,0,Julie Rivkin,4,T F,1530-1645,REMOTE,,-,,,-,,.
ENG,319,1,1,10600,LEATHER AND GLITT,,Y,18,0,Ariella Rotramel Denis Ferhatovic,4,T F,1200-1315,REMOTE,,-,,,-,,.
ENG,322,1,1,10294,SEMINAR IN FICTION,Y,,12,0,Blanche Boyd,4,M W,1715-1830,REMOTE,,-,,,-,,.
ENG,331,1,1,10295,SHAKESPEARE IN PERFORMANCE,,,18,0,Lina Wilder,4,M R,0830-0945,REMOTE,,-,,,-,,.
ENG,333,1,1,10296,THE CANTERBURY TALES,,,18,0,Denis Ferhatovic,4,M R,1345-1500,REMOTE,,-,,,-,,.
ENG,340,1,1,10298,WRITING POETRY: INTERMEDIATE,,,12,0,Kate Rushin,4,T F,1345-1500,REMOTE,,-,,,-,,.
ENG,368,1,1,10299,LIT IN THE ANTHROPOCENE,,Y,18,0,Michelle Neely,4,M R,1015-1130,REMOTE,,-,,,-,,.
ENG,379,1,1,10581,BLACK POETICS,,Y,18,0,Hubert Cook,4,W,0830-1130,REMOTE,,-,,,-,,.
ENG,381,1,1,10596,GLOBAL GRAPHIC NOVELS,,Y,18,0,Marie Ostby,4,W,1345-1645,REMOTE,,-,,,-,,.
ENG,493G,1,1,10303,JANE AUSTEN,,Y,16,0,Jeff Strabone,4,S,1015-1315,,,-,,,-,,.
ES,110,1,1,10445,ENV STDS AS A NATURAL SCIENCE,,,24,0,Peter Siver,4,M R,0830-0945,REMOTE,,-,,,-,,.
ES,111,1,1,10446,ENV STDS AS A SOCIAL SCIENCE,,,24,0,Jane Dawson,4,M R,0830-0945,REMOTE,,-,,,-,,.
ES,113,1,1,10767,ENERGY AND THE ENVIRONMENT,,Y,16,0,Michael Seifert,4,T R,1715-1830,,,-,,,-,,.
ES,117,1,1,10305,CC:COEVOLUTION PLANTS & PEOPLE,,Y,28,0,Manuel Lizarralde,4,T F,0830-0945,REMOTE,,-,,,-,,.
ES,207,1,1,10308,SEM: INDIG USE TROP RAINFOREST,,Y,12,0,Manuel Lizarralde,4,R,1345-1645,REMOTE,,-,,,-,,.
ES,210,1,1,10449,HYDROLOGY,,Y,28,0,Doug Thompson,4,M R,1200-1315,,,-,,,-,,.
ES,214,1,1,10451,VECTOR-BASED GEOG INFO SYST,,Y,12,0,Beverly Chomiak,4,M,1715-1830,OLIN 113,TWR,1715-1830,REMOTE,,-,,.
ES,232,1,1,10019,GLOBAL ENVIRONMENTAL POLITICS,,Y,24,0,Jane Dawson,4,M R,1345-1500,REMOTE,,-,,,-,,.
ES,234,1,1,10312,S AMER CULTURES & ENVIRONMENT,,Y,24,0,Manuel Lizarralde,4,M R,1715-1830,REMOTE,,-,,,-,,.
ES,290,1,1,10454,GOODWIN-NIERING CERT SEMINAR,Y,,28,0,Jennifer Pagach,4,W,1015-1130,REMOTE,,1345-1500,REMOTE,,-,,.
ES,359,1,1,10671,MINING AND THE ENVIRONMENT,,Y,14,0,Beverly Chomiak,4,W,1345-1500,REMOTE,S,1345-1645,OLIN 113,,-,,.
ES,368,1,1,10300,LIT IN THE ANTHROPOCENE,,Y,18,0,Michelle Neely,4,M R,1015-1130,REMOTE,,-,,,-,,.
ES,393,1,1,10279,DISCARD(-ERS)(-ING)(-ABLES),,Y,18,0,Anthony Graesch,4,T F,1520-1645,REMOTE,,-,,,-,,.
ES,396,1,1,10462,GOODWIN-NIERING CERT SEMINAR,,,18,0,Anthony Graesch,2,W,1345-1500,REMOTE,,-,,,-,,.
ES,493F,1,1,10674,MARINE POLLUTION,,,15,0,Andrew Davis,4,M,1900-2200,REMOTE,,-,,,-,,.
ES,493N,1,1,10314,BIOFUELS,,Y,16,0,Rachel Spicer,4,T R,1900-2015,REMOTE,,-,,,-,,.
ES,493U,1,1,10463,ENVIRON JUST IN GLOBL PERSP,,Y,18,0,Jane Dawson,4,T,1345-1645,REMOTE,,-,,,-,,.
ES,496,1,1,10464,GOODWIN-NIERING CERT SEMINAR,,,18,0,Anthony Graesch,2,W,1345-1500,REMOTE,,-,,,-,,.
FLM,101,1,1,10480,INT FLM ST: HOW TO READ FLM,,,20,0,Linnea Hussein,4,M R,0830-0945,REMOTE,,-,,,-,,.
FLM,101,2,1,10481,INT FLM ST: HOW TO READ FLM,,,20,0,Linnea Hussein,4,M R,1015-1130,REMOTE,,-,,,-,,.
FLM,202,1,1,10482,STUDIES IN FILM CULTURE,,,20,0,Nina Martin,4,M R,1530-1645,,,-,,,-,,.
FLM,209,1,1,10490,INTERSECT IDENT IN U.S. FILM,,Y,20,0,Linnea Hussein,4,M W,1715-1830,REMOTE,,-,,,-,,.
FLM,298E,1,2,10822,PERSONAL DOCUMENTARY I,Y,,12,0,Ian Harnarine,4,T R,1715-2015,REMOTE,,-,,,-,,.
FLM,298F,1,2,10823,QUARANTINE FILMMAKING,Y,,12,0,Ross Morin,4,T F,1015-1130,OLIN 214,T F,1345-1500,OLIN 214,,-,,.
FLM,395W,1,1,10489,FEMINISMS IN AMER POP CULT,,,14,0,Nina Martin,4,M R,1200-1315,,,-,,,-,,.
FLM,398E,1,3,10824,PERSONAL DOCUMENTARY II,Y,,12,0,Ian Harnarine,4,T R,1715-2015,REMOTE,,-,,,-,,.
FLM,416,1,1,10594,FROM NEOREALISM TO THE PRESENT,,Y,16,0,Paola Sica,4,T,1900-2200,REMOTE,,-,,,-,,.
FRH,102,1,1,10318,ELEM FRENCH LANGUAGE/CULTURE,,,18,0,Robyn Pront,5,T F,1015-1105,REMOTE,S,1200-1250,REMOTE,,-,,.
FRH,102,2,1,10321,ELEM FRENCH LANGUAGE/CULTURE,,,18,0,Ramla Bedoui,5,M W,1715-1805,REMOTE,T,1715-1805,REMOTE,,-,,.
FRH,201,1,1,10323,INTER FRENCH LANG/CULTURE I,,,15,0,Ronan Chalmin,4,M W,1715-1830,REMOTE,,-,,,-,,.
FRH,202,1,1,10324,INTER FRENCH LANG/CULTURE II,,,15,0,James Austin,4,T R,1530-1645,REMOTE,,-,,,-,,.
FRH,256,1,1,10509,“MIGRATION CRISIS” IN EUROPE,,Y,28,0,Catherine Benoit,4,M R,0830-0945,REMOTE,,-,,,-,,.
FRH,301,1,1,10325,PENSEZ FRANCAIS: FRH CUL EXP,,,15,0,Ronan Chalmin,4,M R,0830-0945,REMOTE,,-,,,-,,.
FRH,312,1,1,10328,MODERN FRENCH RESISTANCE,,,18,0,Robyn Pront,4,T F,0830-0945,REMOTE,,-,,,-,,.
FRH,327,1,1,10327,INTRO TO LITERARY ANALYSIS,,,18,0,Ronan Chalmin,4,M R,1015-1130,REMOTE,,-,,,-,,.
FRH,414,1,1,10329,"NEW WAVE FILM, THEN AND NOW",,,16,0,James Austin,4,T F,1345-1500,REMOTE,,-,,,-,,.
FRH,420,1,1,10792,THE WOMAN'S BODY AFR LIT/CIN,,Y,16,0,Ramla Bedoui,4,M R,1345-1500,REMOTE,,-,,,-,,.
GWS,102,1,1,10148,CHILD RIGHTS/PUBLIC POLICY,,Y,35,0,Rashelle Litchmore,4,T F,1015-1130,REMOTE,,-,,,-,,.
GWS,103,1,1,10519,"GENDER, SEXUALITY, AND INTESEC",,Y,17,0,Karen Hanna,4,M W,1715-1830,REMOTE,,-,,,-,,.
GWS,103,2,1,10786,"GENDER, SEXUALITY, AND INTESEC",,Y,17,0,Karen Hanna,4,M W,1900-2015,REMOTE,,-,,,-,,.
GWS,200C,1,1,10788,WRITING THE SELF,,,25,0,Summar West,4,T F,1200-1315,REMOTE,,-,,,-,,.
GWS,213,1,1,10661,INTERSECT IDENT IN U.S. FILM,,Y,20,0,Linnea Hussein,4,M W,1715-1830,REMOTE,,-,,,-,,.
GWS,231,1,1,10580,DISABILITY JUSTICE,,Y,25,0,Karen Hanna,4,M W,2045-2200,REMOTE,,-,,,-,,.
GWS,290,1,1,10518,FEELING STATES,,,28,0,R. Danielle Egan,4,M R,1345-1500,,,-,,,-,,.
GWS,301,1,1,10293,AMERICAN WOMEN WRITERS,,Y,18,0,Julie Rivkin,4,T F,1530-1645,REMOTE,,-,,,-,,.
GWS,318,1,1,10118,SEX AND POWER IN JAPAN,,Y,28,0,Ayako Takamori,4,T F,1345-1500,REMOTE,,-,,,-,,.
GWS,319,1,1,10579,LEATHER AND GLITT,,Y,18,0,Ariella Rotramel Denis Ferhatovic,4,T F,1200-1315,REMOTE,,-,,,-,,.
GWS,410,1,2,10517,SENIOR CAPSTONE IN GWS,,,16,0,R. Danielle Egan,4,M WR,1015-1130,REMOTE,,-,,,-,,.
GWS,413,1,1,10306,JANE AUSTEN,,Y,16,0,Jeff Strabone,4,S,1015-1315,,,-,,,-,,.
GWS,420,1,1,10870,THE WOMAN'S BODY AFR LIT/CIN,,Y,16,0,Ramla Bedoui,4,M R,1345-1500,REMOTE,,-,,,-,,.
GWS,470,1,1,10825,CLAIM YOUR EDUCATION TUTORIAL,Y,,18,0,Ariella Rotramel,4,T F,1345-1500,REMOTE,,-,,,-,,.
GEO,210,1,1,10450,HYDROLOGY,,Y,28,0,Doug Thompson,4,M R,1200-1315,,,-,,,-,,.
GEO,214,1,1,10452,VECTOR-BASED GEOG INFO SYST,,Y,12,0,Beverly Chomiak,4,M,1715-1830,OLIN 113,TWR,1715-1830,REMOTE,,-,,.
GEO,359,1,1,10670,MINING AND THE ENVIRONMENT,,Y,14,0,Beverly Chomiak,4,W,1345-1500,REMOTE,S,1345-1645,OLIN 113,,-,,.
GER,102,1,1,10541,ELEMENTARY GERMAN,,,18,0,Suzuko Knott,4,MT RF,1200-1250,,,-,,,-,,.
GER,102,2,1,10542,ELEMENTARY GERMAN,,,16,0,Suzuko Knott,4,MTWR,1900-1950,REMOTE,,-,,,-,,.
GER,110,1,1,10004,INTRO TO LANGUAGE AND MIND,,Y,38,0,Tek-wah King,4,M R,1530-1645,REMOTE,,-,,,-,,.
GER,202,1,1,10543,INTERMEDIATE GERMAN,,,18,0,Suzuko Knott,4,M WR,2045-2135,REMOTE,,-,,,-,,.
